visitNumber,visitId,visitStartTime,date,total_visits,total_hits,total_pageviews,total_timeOnSite,total_bounces,total_newVisits,total_screenviews,browser,hitNumber,isEntrance,isExit,hitPagePath,hitPageHostname,hitPageTitle,hitPageSearchKeyword,hitPageSearchCategory,hitPagePathLevel1,transactionId,itemTransactionId,ProductName,ProductSKU,Category,Variant,ProductList, Revenue , TotalCost ,Price,Quantity
2,1472571985,1472571985,20160830,1,13,11,305,,,,Chrome,12,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301467,ORD201608301467,24 oz YouTube Sergeant Stripe Bottle,GGOEYDHJ019399,(not set),Single Option Only,(not set), 20.91 , 7.99 ,7.99,1
1,1472606991,1472606991,20160830,1,13,12,392,,1,,Chrome,12,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301495,ORD201608301495,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,(not set),Single Option Only,(not set), 112.00 , 99.50 ,1.99,50
3,1472599227,1472599227,20160830,1,14,12,192,,,,Chrome,13,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301510,ORD201608301510,20 oz Stainless Steel Insulated Tumbler,GGOEGDHQ014899,(not set),Single Option Only,(not set), 11.24 , 19.99 ,19.99,1
1,1472594459,1472594459,20160830,1,16,14,685,,1,,Chrome,15,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301546,ORD201608301546,Google Stretch Fit Hat M/L Navy,GGOEGHPL003214,(not set), M/L,(not set), 29.49 , 21.99 ,21.99,1
3,1472604143,1472604143,20160830,1,16,13,895,,,,Chrome,12,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301559,ORD201608301559,Google 17oz Stainless Steel Sport Bottle,GGOEGDHC074099,(not set),Single Option Only,(not set), 33.89 , 18.99 ,18.99,1
3,1472599598,1472599598,20160830,1,16,12,274,,,,Chrome,15,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301564,ORD201608301564,Google Women's Fleece Hoodie,GGOEGAQB036016,(not set), XL,(not set), 173.48 , 55.99 ,55.99,1
3,1472599598,1472599598,20160830,1,16,12,274,,,,Chrome,15,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301564,ORD201608301564,Google Women's Yoga Jacket Black,GGOEGAPB058615,(not set), LG,(not set), 173.48 , 104.99 ,104.99,1
1,1472600111,1472600111,20160830,1,18,14,329,,1,,Chrome,17,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301579,ORD201608301579,Google Bib Red,GGOEGKWR060810,(not set),Single Option Only,(not set), 51.72 , 11.99 ,11.99,1
1,1472600111,1472600111,20160830,1,18,14,329,,1,,Chrome,17,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301579,ORD201608301579,YouTube Onesie Heather,GGOEYAWJ061450,(not set), 18M,(not set), 51.72 , 23.99 ,23.99,1
2,1472597792,1472597792,20160830,1,20,15,725,,,,Chrome,18,,,/ordercompleted.html,shop.googlemerchandisestore.com,Checkout Confirmation,,,/ordercompleted.html,ORD201608301612,ORD201608301612,Google Women's Short Sleeve Hero Tee Red Heather,GGOEGAER029713,(not set), SM,(not set), 42.87 , 15.19 ,15.19,1
